File Type,File size(in KB),Battery percentage,Available RAM (In GB),CPU frequency in MHZ,Total Execution Time(in sec)
1,14.6,81,1.8,586,1.18
1,25.2,82,1.93,586,1.12
1,25.2,83,1.59,248,0.72
1,26.2,81,1.87,482,0.79
1,26.2,83,1.69,586,0.72
1,18.2,82,1.88,248,0.6
1,18.2,83,1.68,248,0.67
1,31.9,82,1.87,248,0.67
1,31.9,83,1.76,248,0.73
1,18.9,82,1.85,248,0.67
1,18.9,83,1.67,248,0.8
1,29.6,82,1.92,248,0.73
1,29.6,83,1.71,248,0.8
1,9.83,82,1.96,248,0.66
1,9.83,83,1.67,1.67,0.92
1,26.7,82,1.94,248,0.46
1,26.7,84,1.61,586,0.66
1,41,82,1.93,248,0.73
1,41,84,1.58,248,0.73
1,26,82,1.93,248,1.06
1,26,84,1.59,352,0.67
1,31.2,83,1.93,248,0.73
1,31.2,84,1.61,248,0.72
1,45.2,85,1.83,586,1.18
1,45.2,89,1.63,248,0.73
1,14.8,85,1.84,248,0.73
1,14.8,88,1.64,248,0.6
1,5.45,85,1.86,482,0.66
1,5.45,88,1.67,248,0.66
1,31.7,85,1.84,248,0.66
1,31.7,88,1.65,248,0.79
1,21,86,1.8,248,0.66
1,21,88,1.66,248,0.72
1,31.8,86,1.86,248,0.66
1,31.8,88,1.65,248,0.73
1,31.4,86,1.83,248,0.67
1,31.4,88,1.66,248,0.72
1,26.4,86,1.84,248,0.66
1,26.4,88,1.65,248,0.73
1,12.7,86,1.83,248,0.6
1,12.7,87,1.68,482,0.73
1,39.2,86,1.91,248,0.66
1,39.2,87,1.7,248,0.6
1,20,86,1.87,248,0.74
1,20,87,1.73,248,0.66
1,39.4,87,1.93,586,0.74
1,39.4,87,1.69,248,0.67
1,62.3,87,1.8,586,0.79
1,62.3,87,1.75,248,0.79
1,35.2,87,1.82,248,0.66
1,35.2,87,1.69,248,0.73
1,19.6,64,1.93,248,1.32
1,19.6,52,1.7,586,0.6
1,19.7,64,1.92,144,0.79
1,19.7,52,1.69,248,0.66
1,27.4,64,1.91,144,0.73
1,27.4,52,1.7,482,0.67
1,24.3,64,1.91,144,0.73
1,24.3,54,1.68,248,0.66
1,20.8,64,1.92,144,0.87
1,20.8,54,1.7,482,0.66
1,20.9,64,1.92,144,0.73
1,20.9,54,1.68,248,0.73
1,38.4,64,1.93,144,0.72
1,38.4,54,1.64,482,0.67
1,23.7,64,1.9,144,0.73
1,23.7,54,1.64,482,0.67
1,11.2,64,1.88,144,0.79
1,11.2,55,1.66,248,0.66
1,28.7,64,1.89,144,0.79
1,28.7,55,1.71,482,0.86
1,16.4,64,1.9,248,0.79
1,16.4,55,1.69,482,0.73
1,24.7,64,1.87,352,0.79
1,24.7,55,1.62,248,0.79
1,4.92,64,1.86,248,1.05
1,4.92,55,1.66,352,0.79
1,26.8,64,1.9,248,0.8
1,26.8,56,1.69,352,0.79
1,17.8,64,1.86,248,0.66
1,17.8,56,1.66,352,0.72
1,20.8,64,1.86,586,0.73
1,20.8,56,1.61,248,0.66
1,15.4,64,1.87,248,0.8
1,15.4,57,1.61,248,0.73
1,23.4,64,1.86,248,0.72
1,23.4,57,1.75,248,0.73
1,25.5,65,1.88,248,0.73
1,25.5,57,1.82,248,0.72
1,13.1,65,1.87,248,0.73
1,13.1,57,1.62,586,1.06
1,33.4,65,1.84,248,0.73
1,33.4,65,1.64,248,0.66
1,11.4,65,1.88,248,0.73
1,11.4,65,1.55,352,0.73
1,19.7,65,1.84,352,0.67
1,19.7,65,1.77,352,0.73
1,18,65,1.85,352,0.79
1,18,65,1.68,352,0.72
1,9.51,65,1.87,352,0.79
1,9.51,65,1.58,352,0.73
1,17.2,52,1.75,248,1.13
1,17.2,40,1.59,248,0.66
1,40,52,1.75,248,0.79
1,40,40,1.65,248,0.73
1,44.4,52,1.76,248,0.8
1,44.4,40,1.66,248,0.67
1,18.7,52,1.74,248,0.74
1,18.7,40,1.58,248,0.67
1,27.1,52,1.8,482,0.73
1,27.1,40,1.56,248,0.72
1,46.3,52,1.59,482,0.72
1,46.3,40,1.61,248,0.66
1,32.5,52,1.68,482,0.79
1,32.5,40,1.7,248,0.8
1,26.7,51,1.66,248,0.72
1,26.7,41,1.66,248,0.8
1,24.3,51,1.68,248,0.73
1,24.3,41,1.7,248,0.66
1,11.8,50,1.82,248,0.67
1,11.8,41,1.63,248,0.73
1,22.4,50,1.8,248,0.73
1,22.4,41,1.66,248,0.6
1,21.4,49,1.9,248,1.05
1,21.4,42,1.66,248,0.66
1,22,49,1.93,248,0.72
1,22,42,1.73,248,0.67
1,15.6,49,1.86,248,0.73
1,15.6,42,1.65,482,0.73
1,24.4,49,1.81,248,0.72
1,24.4,42,1.68,482,0.98
1,29.8,49,1.81,248,0.73
1,29.8,44,1.68,586,66
1,20.1,48,1.8,482,0.73
1,20.1,44,1.59,248,0.66
1,24.3,48,1.76,482,0.8
1,24.3,44,1.61,248,0.67
1,18.3,48,1.78,248,0.8
1,18.3,44,1.67,248,0.66
1,23.8,47,1.72,248,0.73
1,23.8,44,1.56,248,0.66
1,30.9,47,1.74,248,0.72
1,30.9,45,1.59,248,0.67
1,19.8,47,1.78,248,0.66
1,19.8,45,1.58,248,0.59
1,28.9,47,1.79,248,0.66
1,28.9,45,1.57,248,0.67
1,12.9,46,1.79,248,0.73
1,12.9,45,1.58,248,0.73
1,13.9,46,1.71,482,0.73
1,13.9,45,1.55,248,0.66
1,17.8,37,1.86,482,1.25
1,17.8,42,1.7,248,0.6
1,16.4,37,1.82,248,0.73
1,16.4,41,1.62,482,0.59
1,26.9,37,1.85,248,0.74
1,26.9,41,1.62,482,0.73
1,26.7,37,1.87,248,0.66
1,26.7,41,1.68,248,0.73
1,27.4,37,1.85,248,0.66
1,27.4,41,1.69,482,0.66
1,25.6,37,1.89,248,1.05
1,25.6,41,1.6,482,0.73
1,21.8,37,1.9,248,0.67
1,21.8,41,1.7,482,0.53
1,16.6,37,1.85,482,0.67
1,16.6,41,1.67,248,0.6
1,15.9,38,1.88,482,0.66
1,15.9,41,1.62,248,0.73
1,23,37,1.81,482,0.72
1,23,41,1.64,248,0.66
1,31.8,37,1.81,248,0.73
1,31.8,40,1.56,482,0.73
1,14.2,38,1.94,248,0.92
1,14.2,40,1.58,482,0.66
1,4.83,38,1.93,248,0.72
1,4.83,40,1.69,482,0.67
1,23,38,1.86,352,0.74
1,23,40,1.75,482,0.67
1,17.4,38,1.9,248,0.73
1,17.4,40,1.63,352,0.66
1,18.3,38,1.89,248,0.72
1,18.3,40,1.65,352,0.72
1,20.3,38,1.9,482,0.72
1,20.3,40,1.57,586,0.73
1,8.84,39,1.93,248,0.79
1,8.84,39,1.54,248,0.73
1,25.9,39,1.9,482,0.79
1,25.9,39,1.56,248,1.44
1,14.1,39,1.86,248,0.73
1,14.1,39,1.55,248,0.72
1,30.7,39,1.85,482,0.72
1,30.7,39,1.54,248,0.73
1,27.2,39,1.81,482,0.72
1,27.2,39,1.66,248,0.72
1,6.05,39,1.79,482,0.66
1,6.05,39,1.64,248,1.25
1,9.47,39,1.77,482,0.72
1,9.47,40,1.62,352,0.79
1,21.3,40,1.79,482,0.73
1,21.3,40,1.69,482,0.73
1,9.88,45,1.9,248,1.05
1,9.88,51,1.67,482,0.67
1,32.6,45,1.87,248,0.67
1,32.6,51,1.64,248,0.66
1,26.3,45,1.87,248,0.66
1,26.3,51,1.74,586,0.86
1,21.3,46,1.88,248,0.66
1,21.3,51,1.68,586,0.66
1,43.7,46,1.89,482,0.74
1,43.7,51,1.72,248,0.72
1,9.33,46,1.91,482,0.67
1,9.33,51,1.73,248,0.79
1,26.2,46,1.85,586,0.66
1,26.2,51,1.61,248,0.66
1,25.6,46,1.8,248,0.53
1,25.6,50,1.62,248,0.66
1,23.8,46,1.82,248,0.86
1,23.8,50,1.67,482,0.66
1,18.1,46,1.82,248,0.66
1,18.1,50,1.69,482,0.73
1,27.2,46,1.84,482,0.73
1,27.2,50,1.77,482,0.66
1,22.5,46,1.87,482,0.73
1,22.5,50,1.65,248,0.66
1,38,46,1.84,482,0.66
1,38,50,1.65,482,0.72
1,20.4,46,1.86,248,0.67
1,20.4,49,1.57,248,0.61
1,43.2,47,1.84,248,0.67
1,43.2,49,1.67,248,0.66
1,42.3,47,1.87,248,0.6
1,42.3,49,1.65,248,0.66
1,26.8,47,1.88,248,0.59
1,26.8,49,1.64,248,0.79
1,25.7,47,1.89,482,0.59
1,25.7,49,1.64,586,0.73
1,20.9,47,1.89,482,0.6
1,20.9,48,1.64,482,0.72
1,23.4,47,1.9,482,0.73
1,23.4,48,1.69,482,0.74
